Datum;Start;Ende;Titel;Beschreibung;Jeden Tag;Arbeitszeit;Kunde
01.04.16;07:41;16:47;Arbeitszeit;;0;1;1
04.04.16;07:55;16:54;Arbeitszeit;;0;1;1
05.04.16;08:04;17:01;Arbeitszeit;;0;1;1
06.04.16;07:57;17:06;Arbeitszeit;;0;1;1
07.04.16;07:56;15:06;Arbeitszeit;;0;1;1
08.04.16;07:55;17:00;Arbeitszeit;;0;1;1
11.04.16;08:06;17:00;Arbeitszeit;;0;1;1
12.04.16;08:10;17:04;Arbeitszeit;;0;1;1
13.04.16;08:14;16:56;Arbeitszeit;;0;1;1
14.04.16;08:09;15:34;Arbeitszeit;;0;1;1
15.04.16;08:12;16:56;Arbeitszeit;;0;1;1
18.04.16;08:16;16:54;Arbeitszeit;;0;1;1
19.04.16;08:11;17:05;Arbeitszeit;;0;1;1
20.04.16;08:05;16:50;Arbeitszeit;;0;1;1
21.04.16;08:09;16:59;Arbeitszeit;;0;1;1
22.04.16;08:14;16:54;Arbeitszeit;;0;1;1
25.04.16;08:09;16:54;Arbeitszeit;;0;1;1
26.04.16;07:57;17:03;Arbeitszeit;;0;1;1
27.04.16;08:05;16:54;Arbeitszeit;;0;1;1
28.04.16;08:14;16:54;Arbeitszeit;;0;1;1
29.04.16;08:06;16:53;Arbeitszeit;;0;1;1
