Datum;Start;Ende;Titel;Beschreibung;Jeden Tag;Arbeitszeit;Kunde
01.03.16;08:00;17:01;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
02.03.16;08:00;17:02;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
03.03.16;08:00;16:00;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
04.03.16;08:03;16:59;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
07.03.16;08:06;17:00;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
08.03.16;08:09;16:42;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
09.03.16;08:08;16:48;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
10.03.16;08:08;16:46;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
11.03.16;;;Krank;;0;0;
14.03.16;;;Krank;;0;0;
15.03.16;;;Krank;;0;0;
16.03.16;;;Krank;;0;0;
17.03.16;08:10;17:01;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
18.03.16;08:08;16:50;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
21.03.16;;;Urlaub;;0;0;
22.03.16;;;Urlaub;;0;0;
23.03.16;;;Urlaub;;0;0;
24.03.16;;;Urlaub;;;0;
29.03.16;08:00;17:00;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
30.03.16;08:00;17:05;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
31.03.16;08:00;16:51;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
