Datum;Start;Ende;Titel;Beschreibung;Jeden Tag;Arbeitszeit;Kunde
01.06.16;08:00;16:58;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
02.06.16;08:06;17:00;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
03.06.16;08:09;17:04;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
06.06.16;08:08;16:38;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
08.06.16;08:13;17:02;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
09.06.16;08:05;16:57;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
10.06.16;;;Urlaub;;0;0;
13.06.16;08:04;17:04;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
14.06.16;08:00;16:56;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
15.06.16;08:08;17:00;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
16.06.16;08:00;15:01;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
17.06.16;08:16;16:52;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
20.06.16;08:13;17:05;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
21.06.16;08:07;17:00;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
22.06.16;08:16;16:59;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
23.06.16;08:05;17:04;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
24.06.16;08:08;15:57;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
27.06.16;08:16;17:00;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
28.06.16;08:09;17:00;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
29.06.16;08:12;17:02;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
30.06.16;08:07;16:03;Arbeitszeit;;0;1;3560f864deb108ab18e22d896b0ac4cb
